,月,日,外気温[℃],床下空気温度,表面温度,熱流,温度差,熱伝達率
2016/3/1 0:00,3,1,-2.3,24.77201663,24.67726117,4.195316009,0.094755452,44.27519366
2016/3/1 1:00,3,1,-2.3,24.90165011,24.76374437,6.518856786,0.137905738,47.27038121
2016/3/1 2:00,3,1,-1.9,24.90173896,24.78237219,6.366540695,0.119366767,53.3359567
2016/3/1 3:00,3,1,-1.7,24.73387786,24.70382774,3.903727736,0.030050125,129.907204
2016/3/1 4:00,3,1,-1.8,24.88075562,24.75906113,5.670879536,0.121694482,46.59931523
2016/3/1 5:00,3,1,-1.7,24.8759278,24.79424444,6.014268904,0.081683362,73.62905655
2016/3/1 6:00,3,1,-1,24.71343328,24.82866674,6.599887264,-0.115233453,-57.27405615
2016/3/1 7:00,3,1,-0.8,24.8487722,24.89330552,7.308584744,-0.044533323,-164.1149663
2016/3/1 8:00,3,1,-2,24.91124447,24.93463891,6.953730314,-0.023394445,-297.2385273
2016/3/1 9:00,3,1,-1.7,25.02366118,24.84342777,3.912765447,0.180233415,21.70943411
2016/3/1 10:00,3,1,-0.5,25.1484722,24.89097786,5.177968431,0.257494342,20.10905716
2016/3/1 11:00,3,1,-0.5,22.78408342,24.40793345,-7.631566755,-1.623850034,4.699674597
2016/3/1 12:00,3,1,0.3,22.58120003,24.17372213,-7.797950227,-1.5925221,4.89660409
2016/3/1 13:00,3,1,-0.2,22.486839,23.99987237,-7.489125334,-1.513033365,4.949742358
2016/3/1 14:00,3,1,-0.2,24.78387783,24.48737787,10.71619594,0.296499958,36.14231858
2016/3/1 15:00,3,1,-1.2,24.82961664,24.51273894,7.234278049,0.316877696,22.82987457
2016/3/1 16:00,3,1,-2.5,24.97968873,24.60927769,8.295325354,0.370411046,22.39491893
2016/3/1 17:00,3,1,-3.2,24.92738347,24.62679447,7.804587957,0.300589002,25.96431641
2016/3/1 18:00,3,1,-3,24.78397779,24.57096114,5.18381743,0.21301665,24.33526878
