内部識別子,env_chiki,bsc_nobeyuka_menseki,bsc_shukyoshitsu_menseki,bsc_sonotakyoshitsu_menseki,ip_yuka_dannetsu,ip_bath_dannetsu,u_value_ceil,u_value_wall,u_value_floor_general,u_value_floor_bath,u_value_door,u_value_window,ss_eta_value_window,sw_eta_value_window,syutoku_nissya_houhou,ss_syutoku_nissya_value_window,sw_syutoku_nissya_value_window,gaisyu_u_value_general,gaisyu_u_value_entrance,gaisyu_u_value_bath,U_A,eta_AC,eta_AH
ケース1,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース2,2,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,14,14.3
ケース3,3,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.8,14.3
ケース4,4,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.4,13.9
ケース5,5,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.8,14.8
ケース6,6,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.5,14.4
ケース7,7,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.2,14.8
ケース8,8,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.7,ND
ケース9,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース10,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース11,1,120.08,29.81,51.34,1,1,0,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,4.67,8.9,9.7
ケース12,1,120.08,29.81,51.34,1,1,9.999,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.58,15.4,16.2
ケース13,1,120.08,29.81,51.34,1,1,10,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.58,15.4,16.2
ケース14,1,120.08,29.81,51.34,1,1,7.7,0,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,3.05,9,9.1
ケース15,1,120.08,29.81,51.34,1,1,7.7,9.999,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,7.68,16.4,17.5
ケース16,1,120.08,29.81,51.34,1,1,7.7,10,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,7.68,16.4,17.5
ケース17,1,120.08,29.81,51.34,1,1,7.7,6.67,0,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.51,13.9,14.7
ケース18,1,120.08,29.81,51.34,1,1,7.7,6.67,9.999,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.7,13.9,14.7
ケース19,1,120.08,29.81,51.34,1,1,7.7,6.67,10,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.7,13.9,14.7
ケース20,1,120.08,29.81,51.34,2,1,7.7,6.67,0,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース21,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース22,1,120.08,29.81,51.34,2,1,7.7,6.67,9.999,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース23,1,120.08,29.81,51.34,2,1,7.7,6.67,10,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース24,1,120.08,29.81,51.34,3,1,7.7,6.67,0,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.51,13.9,14.7
ケース25,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース26,1,120.08,29.81,51.34,3,1,7.7,6.67,9.999,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.7,13.9,14.7
ケース27,1,120.08,29.81,51.34,3,1,7.7,6.67,10,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.7,13.9,14.7
ケース28,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.09,13.9,14.7
ケース29,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.18,13.9,14.7
ケース30,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.18,13.9,14.7
ケース31,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース32,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース33,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース34,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース35,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース36,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース37,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース38,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース39,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース40,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース41,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース42,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース43,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース44,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース45,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース46,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース47,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース48,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース49,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース50,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース51,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.09,13.9,14.7
ケース52,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース53,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.18,13.9,14.7
ケース54,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.18,13.9,14.7
ケース55,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース56,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース57,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース58,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース59,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,0,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース60,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース61,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,9.999,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース62,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,10,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース63,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,0,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.08,13.9,14.6
ケース64,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,9.999,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.21,14,14.7
ケース65,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,10,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.21,14,14.7
ケース66,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,0,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.33,13.9,14.7
ケース67,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,9.999,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.57,13.9,14.7
ケース68,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,10,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.57,13.9,14.7
ケース69,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,10.1,14.7
ケース70,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,1,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,15.6,14.7
ケース71,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,1.01,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,15.6,14.7
ケース72,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,10.6
ケース73,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,1,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,16.4
ケース74,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,1.01,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,16.5
ケース75,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース76,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,1,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース77,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,1.01,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース78,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0,0.51,1.8,1.8,1.8,6.14,10.1,13.8
ケース79,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0.93,0.51,1.8,1.8,1.8,6.14,14.2,13.8
ケース80,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,1,0.51,1.8,1.8,1.8,6.14,14.6,13.8
ケース81,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,1.01,0.51,1.8,1.8,1.8,6.14,14.6,13.8
ケース82,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0,1.8,1.8,1.8,6.14,13.9,14.7
ケース83,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,1,1.8,1.8,1.8,6.14,13.9,14.7
ケース84,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,1.01,1.8,1.8,1.8,6.14,13.9,14.7
ケース85,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0.93,0,1.8,1.8,1.8,6.14,14.2,10.6
ケース86,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0.93,0.51,1.8,1.8,1.8,6.14,14.2,13.8
ケース87,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0.93,1,1.8,1.8,1.8,6.14,14.2,16.8
ケース88,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,2,0.93,1.01,1.8,1.8,1.8,6.14,14.2,16.9
ケース89,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,0,1.8,1.8,6.14,13.9,14.7
ケース90,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,9.999,1.8,1.8,6.14,13.9,14.7
ケース91,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,10,1.8,1.8,6.14,13.9,14.7
ケース92,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,0,1.8,1.8,5.26,13.5,14.1
ケース93,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース94,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,9.999,1.8,1.8,6.26,13.5,14.1
