symbol,Ug
3WgG06,1.38
3WgG07,1.25
3WgG08,1.15
3WgG09,1.07
3WgG10,1
3WgG11,0.95
3WgG12,0.9
3WgG13,0.86
3WgG14,0.82
3WgG15,0.79
3WgG16,0.76
3WsG06,1.38
3WsG07,1.25
3WsG08,1.15
3WsG09,1.07
3WsG10,1
3WsG11,0.95
3WsG12,0.9
3WsG13,0.86
3WsG14,0.82
3WsG15,0.79
3WsG16,0.76
3WgA06,1.68
3WgA07,1.53
3WgA08,1.41
3WgA09,1.31
3WgA10,1.22
3WgA11,1.15
3WgA12,1.09
3WgA13,1.04
3WgA14,0.99
3WgA15,0.95
3WgA16,0.92
3WsA06,1.68
3WsA07,1.53
3WsA08,1.41
3WsA09,1.31
3WsA10,1.22
3WsA11,1.15
3WsA12,1.09
3WsA13,1.04
3WsA14,0.99
3WsA15,0.95
3WsA16,0.92
3LgG06,1.67
3LgG07,1.55
3LgG08,1.45
3LgG09,1.37
3LgG10,1.31
3LgG11,1.25
3LgG12,1.2
3LgG13,1.16
3LgG14,1.12
3LgG15,1.08
3LgG16,1.07
3LsG06,1.67
3LsG07,1.55
3LsG08,1.45
3LsG09,1.37
3LsG10,1.31
3LsG11,1.25
3LsG12,1.2
3LsG13,1.16
3LsG14,1.12
3LsG15,1.08
3LsG16,1.07
3LgA06,1.96
3LgA07,1.82
3LgA08,1.7
3LgA09,1.61
3LgA10,1.53
3LgA11,1.46
3LgA12,1.4
3LgA13,1.34
3LgA14,1.3
3LgA15,1.26
3LgA16,1.22
3LsA06,1.96
3LsA07,1.82
3LsA08,1.7
3LsA09,1.61
3LsA10,1.53
3LsA11,1.46
3LsA12,1.4
3LsA13,1.34
3LsA14,1.3
3LsA15,1.26
3LsA16,1.22
3FA06,2.32
3FA07,2.21
3FA08,2.13
3FA09,2.06
3FA10,2
3FA11,1.95
3FA12,1.91
3FA13,1.88
3FA14,1.84
3FA15,1.82
3FA16,1.79
2LgG06,2.23
2LgG07,2.06
2LgG08,1.92
2LgG09,1.81
2LgG10,1.71
2LgG11,1.63
2LgG12,1.56
2LgG13,1.49
2LgG14,1.44
2LgG15,1.42
2LgG16,1.42
2LsG06,2.23
2LsG07,2.06
2LsG08,1.92
2LsG09,1.81
2LsG10,1.71
2LsG11,1.63
2LsG12,1.56
2LsG13,1.49
2LsG14,1.44
2LsG15,1.42
2LsG16,1.42
2LgA06,2.62
2LgA07,2.43
2LgA08,2.28
2LgA09,2.14
2LgA10,2.03
2LgA11,1.93
2LgA12,1.84
2LgA13,1.77
2LgA14,1.7
2LgA15,1.64
2LgA16,1.61
2LsA06,2.62
2LsA07,2.43
2LsA08,2.28
2LsA09,2.14
2LsA10,2.03
2LsA11,1.93
2LsA12,1.84
2LsA13,1.77
2LsA14,1.7
2LsA15,1.64
2LsA16,1.61
2FA06,3.33
2FA07,3.22
2FA08,3.13
2FA09,3.05
2FA10,2.99
2FA11,2.93
2FA12,2.89
2FA13,2.84
2FA14,2.81
2FA15,2.78
2FA16,2.75
T,5.95
