no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
C-0010,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0055,5,戸建,木造,天井断熱,床断熱,0.21,0.46,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0066,6,戸建,木造,屋根断熱,基礎断熱,0.29,0.23,-,0.45,0.45,2.33,1.99,0.29,0.19
D-0075,5,戸建,木造,天井断熱,床断熱,0.43,0.7,0.42,0.53,0.76,4.07,3.21,0.32,0.21
D-0087,2,戸建,木造,天井断熱,基礎断熱,0.17,0.28,-,0.31,0.31,1.7,1.5,0.27,0.18
D-0111,5,戸建,木造,天井断熱,床断熱,0.18,0.45,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-0112,6,戸建,木造,天井断熱,床断熱,0.18,0.45,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-0129,6,戸建,木造,屋根断熱,床断熱,1.36,1.34,0.47,0.53,0.76,4.07,3.21,0.32,0.21
D-0236,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.57,0.53,0.76,4.07,3.21,0.32,0.21
D-0247,4,戸建,木造,屋根断熱,床断熱,0.42,0.58,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0258,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.42,0.42,1.7,1.5,0.27,0.18
D-0262,4,戸建,木造,屋根断熱,床断熱,0.24,0.39,0.38,0.53,0.76,2.33,1.99,0.32,0.21
D-0269,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-0274,4,戸建,木造,屋根断熱,基礎断熱,0.27,0.28,-,0.37,0.37,2.33,1.99,0.32,0.21
D-0287,5,戸建,木造,天井断熱,基礎断熱,0.17,0.42,-,0.58,0.58,2.33,1.99,0.29,0.19
D-0298,5,戸建,木造,屋根断熱,床断熱,0.39,0.48,0.68,0.53,0.76,3.49,2.82,0.32,0.21
D-0369,3,戸建,木造,天井断熱,床断熱,0.25,0.45,0.29,0.37,0.53,2.33,1.99,0.32,0.21
D-0399,6,戸建,木造,天井断熱,床断熱,0.28,0.39,0.51,0.53,0.76,3.49,2.82,0.32,0.21
D-0501,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0521,3,戸建,木造,天井断熱,床断熱,0.18,0.5,0.33,0.37,0.53,2.91,2.41,0.29,0.19
D-0532,5,戸建,木造,天井断熱,床断熱,0.23,0.3,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0585,3,戸建,木造,屋根断熱,床断熱,0.6,0.61,0.72,0.37,0.53,3.49,2.82,0.32,0.21
D-0594,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0595,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0616,4,戸建,木造,屋根断熱,床断熱,0.31,0.49,0.45,0.53,0.76,1.9,1.66,0.29,0.19
D-0630,3,戸建,木造,天井断熱,床断熱,0.17,0.45,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0632,3,戸建,木造,天井断熱,床断熱,0.17,0.45,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0659,4,戸建,木造,天井断熱,床断熱,0.18,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0700,6,戸建,木造,屋根断熱,床断熱,0.48,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0741,5,戸建,木造,天井断熱,基礎断熱,0.26,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-0750,2,戸建,木造,屋根断熱,床断熱,0.24,0.22,0.48,0.37,0.53,1.9,1.66,0.29,0.19
D-0758,2,戸建,木造,天井断熱,床断熱,0.25,0.41,0.5,0.37,0.53,1.9,1.66,0.29,0.19
D-0791,5,戸建,木造,天井断熱,床断熱,0.45,0.61,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-0796,6,戸建,木造,屋根断熱,床断熱,0.32,0.37,0.55,0.53,0.76,2.91,2.41,0.29,0.19
D-0868,3,戸建,木造,天井断熱,床断熱,0.21,0.43,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0886,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0887,6,戸建,木造,屋根断熱,基礎断熱,0.44,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0888,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0918,6,戸建,木造,屋根断熱,基礎断熱,0.69,0.45,-,0.68,0.68,2.33,1.99,0.32,0.21
D-0919,5,戸建,木造,屋根断熱,床断熱,0.44,0.45,0.39,0.53,0.76,2.33,1.99,0.32,0.21
D-0942,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.51,0.51,1.9,1.66,0.29,0.19
D-0943,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.51,0.51,1.9,1.66,0.29,0.19
D-1013,4,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,4.07,3.21,0.32,0.21
D-1029,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1032,6,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1033,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1034,5,戸建,木造,天井断熱,床断熱,0.24,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1035,5,戸建,木造,天井断熱,床断熱,0.24,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1064,6,戸建,木造,屋根断熱,基礎断熱,0.52,0.52,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1092,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.5,-,0.51,0.51,2.15,1.85,0.32,0.21
D-1095,6,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1126,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1127,5,戸建,木造,屋根断熱,床断熱,0.33,0.3,0.62,0.53,0.76,3.49,2.82,0.32,0.21
D-1129,6,戸建,木造,天井断熱,床断熱,0.22,0.48,0.26,0.53,0.76,1.7,1.5,0.27,0.18
D-1132,5,戸建,木造,屋根断熱,基礎断熱,0.4,0.48,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1135,1,戸建,木造,天井断熱,床断熱,0.18,0.29,0.29,0.37,0.53,1.9,1.66,0.29,0.19
D-1141,6,戸建,木造,天井断熱,基礎断熱,0.54,0.45,-,0.4,0.4,2.33,1.99,0.29,0.19
D-1142,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.38,-,0.52,0.52,2.33,1.99,0.29,0.19
D-1144,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
